vulc,perc_nat_rubber,wiring_strength,weather,perc_imp,temperature,tread_type,tyre_season,elevation,month,tread_depth,tyre_quality,perc_exp_comp,diameter,add_layers,failure
17.196,40,0,0.39,0.01,5.72,0,0,241.5,8,3,0,5.56,69.4,0,1
17.53,31,1,0.05,0,-7.16,3,1,342,8,2,0,5.86,NA,0,0
16.894,37,0,0.3,0.01,-2.24,1,0,728,8,3,0,6.1,NA,1,0
18.882,33,0,0.22,0,-3.88,1,1,382,1,2,0,5.8,NA,1,1
18.224,28,1,0.39,0.01,2.36,0,1,540.5,9,3,0,5.7,NA,1,1
17.236,26,0,0.39,0.01,0.84,1,0,248.5,0,3,0,6.62,NA,1,1
18.166,34,0,0.21,0,0.36,2,1,627,2,0,0,5.55,NA,1,0
17.88,41,0,0.37,0.02,0.24,2,0,560.5,10,2,0,6.19,NA,1,0
19.78,34,1,0.16,0.01,-11.32,1,0,484.5,5,3,1,5.73,NA,1,0
16.698,34,0,0.21,0,-1.36,1,0,106.5,7,3,0,5.32,54.1,1,0
18.608,32,0,0.21,0,1.2,1,1,452,3,1,0,5.73,NA,1,1
18.008,26,1,0.16,0.01,-7.96,0,1,305.5,8,0,1,5.17,NA,1,0
16.454,35,0,0.62,0.05,10.28,2,1,284.5,11,2,0,6.31,65.7,1,1
21.496,32,1,0.11,0,-3.08,4,1,289.5,4,0,0,6.28,NA,1,0
15.68,30,0,0.62,0.05,4,1,0,430.5,1,1,0,6.14,89.5,1,1
18.552,36,1,0.39,0.01,-1.08,3,1,105,2,1,1,5.56,NA,1,1
18.236,38,0,0.62,0.05,3.16,3,1,397,3,0,0,5.8,NA,1,1
18.268,38,0,0.62,0.05,-0.96,3,0,302.5,6,3,0,6.19,NA,1,1
20.054,32,1,0.39,0.01,1.84,3,1,587.5,11,3,0,6.3,NA,0,1
16.858,33,1,0.06,0,3.32,4,0,163.5,3,3,0,6.19,NA,1,0
18.004,25,1,0.16,0.01,-7.8,0,1,427,8,0,1,4.87,84.2,1,0
17.768,30,1,0.29,0.01,-2.68,4,0,497,1,3,0,6.07,NA,1,0
15.856,35,0,0.17,0.01,-0.32,4,0,497.5,2,2,0,6.21,NA,1,1
21.228,39,0,0.19,0.02,-2.32,4,0,295.5,4,0,1,5.53,NA,1,0
17.282,33,1,0.39,0.01,8,4,1,635,0,2,0,6.42,NA,1,1
19.792,33,1,0.93,0.04,3.68,2,1,429.5,8,1,0,6.1,NA,1,0
17.054,32,1,0.38,0.04,5.92,1,0,239,3,1,0,6.63,NA,1,1
19.502,35,1,0.21,0,-9.76,0,1,402,0,3,0,5.57,58.5,1,1
21.394,35,1,0.3,0.01,-5.08,4,0,319,0,3,0,6.11,NA,1,0
17.772,25,1,0.16,0.01,-6.84,0,1,237.5,8,0,1,5.78,NA,1,0
16.676,32,0,0.29,0.01,-0.24,0,0,515,10,3,0,5.89,NA,1,1
16.39,29,1,0.3,0.01,0.12,0,0,324,0,2,0,5.62,NA,0,0
16.468,35,0,0.22,0,-0.4,1,1,451,4,2,0,5.79,68.5,1,0
17.208,29,0,0.19,0.02,1,4,1,336,7,1,1,5.8,NA,1,0
19.222,33,1,0.22,0,-4.36,0,1,212,5,0,0,6.16,NA,1,0
19.872,34,1,0.62,0.05,-3.52,1,0,613.5,2,0,0,5.96,NA,1,1
17.986,26,1,0.16,0.01,-7.76,0,1,361,8,0,1,5.25,76.4,1,0
19.38,40,1,0.21,0,-7.6,2,0,270,6,1,0,6.12,NA,1,0
18.214,36,0,0.22,0,0.64,3,1,254.5,4,2,0,5.87,95.2,1,0
18.382,34,0,0.21,0,-4.2,0,1,359,9,3,0,6.03,NA,1,1
16.35,30,0,0.3,0.01,-0.44,0,0,322.5,11,3,0,5.5,NA,0,1
16.672,36,0,0.39,0.01,-2.84,2,1,355,4,3,0,6.54,NA,2,0
17.826,26,1,0.16,0.01,-6.76,0,1,294,8,0,1,5.45,NA,1,0
17.918,25,1,0.16,0.01,-7.96,0,1,271,8,0,1,5.22,NA,1,0
18.7,35,1,0.62,0.05,-3.24,4,0,488.5,7,1,0,5.54,NA,1,1
17.264,32,0,0.03,0,-2.52,3,0,648,4,1,0,5.77,NA,0,0
17.514,26,1,0.16,0.01,-7.08,0,1,309.5,8,0,1,5.48,68.1,1,0
17.696,30,1,0.21,0,-5.36,1,0,227.5,10,3,1,5.82,NA,1,0
20.234,28,2,0.16,0.01,-1.68,0,0,454,8,2,1,5.99,NA,1,0
18.098,32,1,0.3,0.01,2.8,4,0,457.5,4,3,0,6.14,94,0,1
17.826,25,1,0.16,0.01,-8.72,0,1,354,8,0,1,5.29,NA,1,0
19.022,31,0,0.21,0,-5.88,0,1,582.5,3,2,0,5.75,NA,1,0
17.222,38,0,0.3,0.01,-0.96,3,0,198,4,2,0,6.37,NA,1,0
19.88,37,0,0.05,0.02,1.12,1,0,202,1,0,0,5.86,NA,0,0
16.334,33,0,0.14,0,-1.32,0,0,270,1,2,0,5.64,45.5,1,0
18.674,29,0,0.3,0.01,-0.56,4,0,727,7,0,0,6.29,NA,0,1
17.782,25,1,0.16,0.01,-7.56,0,1,220,8,0,1,5.6,NA,1,0
18.426,28,1,0.39,0.01,1.52,4,1,257,6,2,0,5.96,NA,1,0
18.108,30,1,0.21,0,-10.04,4,1,410,2,3,0,5.19,NA,1,1
17.71,26,1,0.16,0.01,-7.68,0,1,436,8,0,1,5.53,NA,1,0
17.18,31,1,0.39,0.01,1.16,1,1,850,11,2,0,5.99,NA,1,1
17.534,26,0,0.62,0.05,-4.36,3,1,687.5,7,1,0,5.89,72.8,1,0
19.924,36,0,0.29,0.01,0.6,4,0,386.5,5,1,0,6.03,NA,1,0
20.902,30,1,0.16,0.01,-13.44,0,0,257.5,6,0,1,5.08,NA,0,0
21.49,34,1,0.19,0.02,-8.24,4,0,426,10,2,1,5.41,NA,1,0
18.282,29,1,0.16,0.01,-7.32,0,1,408,8,0,1,5.11,NA,1,0
18.282,25,1,0.05,0,-1.72,3,1,713,1,2,0,5.9,59.1,1,0
17.808,22,1,0.16,0.01,-9.04,0,1,324.5,8,0,1,5.34,NA,1,0
17.906,25,1,0.16,0.01,-8.08,0,1,315.5,8,0,1,5.35,NA,1,0
18.328,39,0,0.05,0.02,-2.68,3,1,498,4,1,0,6.13,NA,1,0
19.49,33,1,0.29,0.01,-4.04,4,1,726,4,2,0,5.66,NA,1,0
17.342,33,0,0.3,0.01,1.12,3,0,366,2,2,0,6.21,NA,1,0
16.752,33,1,0.93,0.04,11.68,0,1,341.5,8,2,0,6.44,NA,0,1
16.816,33,0,0.62,0.05,-2.08,4,1,221.5,1,3,0,5.9,NA,1,1
17,36,0,0.21,0,0.28,2,1,389.5,4,2,0,5.12,70.1,1,0
16.072,43,2,0.05,0.02,1.48,3,0,378,7,3,0,6.69,NA,1,0
20.376,31,1,0.16,0.01,-9.88,1,1,269,11,1,1,5.32,NA,1,0
17.442,39,0,0.14,0,0.08,0,0,209.5,0,3,0,5.82,68.2,1,0
16.96,31,1,0.37,0.02,-1,0,1,309,7,0,0,6.28,NA,1,1
17.45,31,1,0.05,0,-9.52,4,1,130.5,11,1,0,5.52,87.5,1,0
16.88,34,0,0.39,0.01,1.48,2,1,398.5,5,1,0,5.88,NA,1,1
20.812,36,1,0.14,0,-4.2,3,0,328.5,3,1,0,6.39,NA,0,1
17.742,39,1,0.62,0.05,3.56,1,1,284.5,3,1,1,5.34,NA,1,1
17.206,25,1,0.21,0,-4.24,2,0,161,2,1,0,5.59,NA,1,1
19.25,38,1,0.3,0.01,-1.8,2,0,224.5,1,2,0,5.98,NA,1,1
16.4,39,0,0.37,0.02,1.2,4,1,536.5,7,0,0,6.08,NA,1,0
17.254,25,1,0.38,0.04,-1.08,1,1,185.5,0,0,0,6.61,79.1,1,1
18.068,29,1,0.37,0.02,4.76,3,0,370.5,9,3,1,5.76,NA,2,1
18.31,33,0,0.21,0,-0.92,2,1,187.5,3,2,0,5.35,85.3,1,1
17.552,27,2,0.37,0.02,0.56,0,1,439.5,4,1,0,5.77,NA,1,1
16.886,36,1,0.3,0.01,-0.2,2,0,506,8,2,0,5.45,72.7,1,0
17.79,32,0,0.22,0,-0.52,0,1,481.5,10,1,0,6.43,NA,1,0
17.002,38,1,0.29,0.01,-4.12,4,1,555,5,1,0,5.82,NA,1,0
18.524,35,1,0.37,0.02,-4.16,2,0,255,1,3,0,5.97,NA,1,1
18,27,1,0.16,0.01,-7.88,0,1,246,8,0,1,5.14,NA,1,0
16.832,34,0,0.3,0.01,-0.48,1,0,701,4,0,0,5.68,NA,1,1
17.114,31,0,0.1,0.01,0.48,0,0,229.5,3,1,0,5.62,44.7,2,0
17.224,30,0,0.22,0,-3.4,2,1,232.5,0,3,0,6.01,49.5,1,1
18.226,26,1,0.37,0.02,4.16,2,1,221,4,2,0,5.88,NA,1,1
17.674,22,1,0.16,0.01,-8.56,0,1,391,8,0,1,5.29,52.2,1,0
21.532,33,1,0.38,0.04,-5.08,3,1,214.5,4,0,0,6.01,NA,1,0
19.592,28,1,0.16,0.01,-5.84,0,1,284.5,9,3,1,5.29,NA,1,0
17.832,29,0,0.1,0.01,-1.52,0,0,248,3,3,0,5.68,NA,1,0
18.306,39,0,0.14,0,0.8,0,0,285,6,3,0,6.01,91.2,2,1
16.814,32,1,0.37,0.02,1.08,3,1,445.5,1,0,0,5.87,NA,1,0
19.612,28,0,0.16,0.01,-6.32,0,0,211.5,3,3,1,5.1,NA,1,1
16.862,30,1,0.16,0.01,-14.36,4,0,308.5,6,0,1,4.85,NA,1,0
19.294,33,1,0.37,0.02,-2.36,4,0,408.5,1,3,0,5.8,NA,1,1
19.678,30,1,0.39,0.01,1.12,1,0,426.5,5,1,0,6.38,101.1,1,1
17.266,42,0,0.62,0.05,-5.6,4,1,320,2,1,0,5.85,NA,1,1
18.158,28,0,0.06,0,-0.2,1,0,615.5,1,2,0,5.94,NA,1,0
20.39,38,1,0.38,0.04,-2.48,2,0,136.5,7,1,1,6.03,NA,1,0
20.118,36,0,0.29,0.01,-2,2,0,301.5,5,1,0,6.18,NA,0,0
19.248,36,0,0.3,0.01,0.08,2,0,507.5,2,3,0,5.52,NA,0,1
17.802,23,1,0.16,0.01,-7.88,0,1,304.5,8,0,1,5.41,NA,1,0
18.39,28,1,0.05,0,-6.36,1,1,332.5,0,0,0,5.75,NA,1,0
17.812,28,1,0.21,0,-3.48,1,0,282,8,1,0,6.15,NA,1,1
18.26,34,0,0.19,0.02,-7.2,3,0,652,10,3,1,4.91,NA,0,1
19.878,30,0,0.13,0.01,-2.52,3,0,392,6,1,0,6.03,NA,1,0
16.636,29,1,0.37,0.02,23.84,2,1,159.5,11,0,0,6.62,NA,1,0
23.558,32,1,0.29,0.01,-4.28,3,0,701,5,3,0,6.16,55.6,1,0
17.718,29,1,0.62,0.05,-4.76,3,0,396,1,3,0,6.32,73.6,1,1
16.2,32,0,0.39,0.01,3.04,4,0,401.5,11,1,0,6.22,NA,1,1
15.52,37,0,0.93,0.04,15.36,1,1,646.5,5,1,0,6.22,NA,1,1
19.962,37,0,0.37,0.02,0.56,1,0,223.5,9,1,0,5.87,72.8,1,0
16.022,30,0,0.37,0.02,-1.56,2,1,146.5,7,3,0,5.75,NA,1,0
17.134,31,1,0.3,0.01,2.52,3,0,321,9,3,0,6.17,NA,1,1
17.438,26,0,0.16,0.01,-7.72,1,1,199,9,1,1,5.15,NA,1,0
18.696,35,0,0.29,0.01,-0.52,3,1,610,9,0,0,6.09,NA,1,0
17.224,45,0,0.62,0.05,4.44,3,0,356,1,3,0,6.55,83.4,1,1
17.522,32,0,0.62,0.05,1.32,4,0,411,7,1,0,6.09,64.8,1,1
19.258,33,1,0.3,0.01,5.44,0,0,409,1,1,0,6.15,NA,0,1
17.596,22,1,0.16,0.01,-8,0,1,264,8,0,1,5.19,NA,1,0
18.852,32,1,0.29,0.01,4.24,3,1,384,6,0,0,6.08,NA,1,1
20.824,38,0,0.27,0.01,0.4,2,0,230.5,8,0,0,5.96,89.3,1,0
17.436,34,0,0.19,0.02,-5.44,2,0,169,7,3,1,5.7,91.6,1,1
17.184,32,0,0.37,0.02,11.4,4,0,361,3,3,0,6.55,NA,1,1
17.53,38,0,0.3,0.01,1.44,0,0,407,9,3,0,6.34,69.2,1,0
18.046,37,1,0.37,0.02,-1.04,3,1,264.5,2,3,0,5.42,94.4,1,1
20.592,33,1,0.93,0.04,-3.16,0,0,295,10,0,0,5.65,NA,1,1
16.556,37,0,0.1,0.01,2,1,0,420,5,0,0,6.33,70.2,1,0
20.232,31,0,0.13,0.01,1.48,4,0,252,0,0,0,6.11,NA,1,0
17.84,21,1,0.16,0.01,-9.36,0,1,354,8,0,1,5.22,NA,1,0
18.306,41,0,0.3,0.01,-4.28,4,0,506.5,0,1,0,5.51,NA,1,0
22.964,29,1,0.05,0.02,-2.24,2,1,223,6,1,0,5.83,NA,0,0
18.838,35,0,0.16,0.01,-8.72,0,1,197,9,3,1,5.34,NA,1,0
21.424,39,1,0.16,0.01,-11.56,3,1,543,1,1,1,5.18,NA,2,0
17.676,26,1,0.05,0,-5.64,3,1,583,6,2,0,6.22,NA,1,0
17.468,24,1,0.16,0.01,-8.56,0,1,314.5,8,0,1,5.5,NA,1,0
20.76,31,0,0.21,0,-10.2,1,0,563.5,9,1,0,5.86,NA,1,0
16.712,31,1,0.27,0.01,5.84,0,0,660,0,2,0,6.74,54.7,1,0
24.938,35,1,0.29,0.01,3.28,1,0,509,4,2,0,6.39,92.8,1,0
17.092,35,1,0.39,0.01,-1.04,4,0,672.5,0,3,0,6.27,NA,1,0
19.732,33,0,0.13,0.01,-2.4,3,0,338,1,1,0,6.3,53.7,1,1
17.826,22,1,0.16,0.01,-9,0,1,327.5,8,0,1,5.14,90.7,1,0
18.276,30,1,0.16,0.01,-9.88,1,1,618.5,0,2,1,5.63,NA,1,0
16.852,35,0,0.39,0.01,-1.56,0,1,223.5,4,0,0,5.79,NA,1,1
17.644,26,1,0.16,0.01,-7.04,0,1,332.5,8,0,1,5.37,NA,1,0
17.958,24,1,0.16,0.01,-8.52,0,1,318,8,0,1,4.98,59.8,1,0
17.148,31,0,0.22,0,-0.52,0,1,394,3,2,0,6.03,NA,2,0
17.382,33,0,0.39,0.01,-0.32,2,1,254,5,0,0,6.53,79.7,1,1
17.41,28,0,0.05,0,-2.04,1,1,391.5,4,0,0,5.87,NA,0,0
17.582,25,1,0.16,0.01,-8.12,0,1,374,8,0,1,5.07,NA,1,0
18.376,35,1,0.29,0.01,-2.88,1,0,228.5,4,0,0,6.09,83,0,1
17.99,24,1,0.37,0.02,-2.12,1,1,592.5,7,3,0,6.06,NA,1,1
19.42,32,1,0.14,0,-4.56,3,0,263.5,3,0,0,5.6,NA,0,0
16.764,26,1,0.05,0.02,-2,3,1,611,1,2,0,5.94,49,1,0
17.682,23,1,0.16,0.01,-9,0,1,215.5,8,0,1,5.8,83.8,1,0
19.48,36,1,0.37,0.02,-3.96,1,0,523,2,0,1,6,NA,1,0
19.386,35,0,0.37,0.02,-1.96,1,0,478.5,6,0,0,5.58,NA,1,0
18.09,38,0,0.62,0.05,-0.6,1,1,512.5,7,1,0,5.92,NA,1,1
20.666,28,1,0.16,0.01,-12.92,1,0,603,1,0,1,5.14,NA,0,0
17.598,26,1,0.16,0.01,-8.36,0,1,250,8,0,1,5.21,NA,1,0
17.624,24,1,0.16,0.01,-8.52,0,1,293.5,8,0,1,5.36,NA,1,0
17.69,23,1,0.16,0.01,-7.36,0,1,324.5,8,0,1,5.1,NA,1,0
16.8,39,0,0.29,0.01,0.32,0,0,536.5,10,0,0,6.29,NA,2,0
17.628,28,1,0.16,0.01,-7.8,0,1,175.5,8,0,1,5.24,NA,1,0
17.854,25,1,0.16,0.01,-8.44,0,1,394,8,0,1,5.42,NA,1,0
17.266,42,0,0.27,0.01,-1.84,2,0,207.5,1,1,0,6.19,57.7,2,0
18.538,40,0,0.14,0,0.16,1,0,683.5,4,3,0,5.99,NA,1,0
18.606,32,1,0.19,0.02,-1.08,3,1,417.5,8,2,0,5.9,NA,1,1
17.946,28,1,0.16,0.01,-9.32,1,0,413,6,1,1,5.09,NA,1,0
17.878,25,1,0.16,0.01,-7.48,0,1,304,8,0,1,5.46,NA,1,0
16.718,34,0,0.22,0,0.44,1,1,225,6,0,0,6.12,63.3,0,1
19.198,30,1,0.93,0.04,1.72,3,0,449.5,5,3,0,6.25,NA,1,1
17.612,22,1,0.16,0.01,-7.72,0,1,327,8,0,1,5.43,44.3,1,0
18.828,39,1,0.38,0.04,-3.92,4,0,354,4,2,0,6.2,NA,1,0
18.22,32,1,0.19,0.02,-7.56,2,1,284.5,3,0,1,5.66,NA,1,0
17.812,27,1,0.16,0.01,-7.84,0,1,316.5,8,0,1,5.23,NA,1,0
15.922,39,0,0.37,0.02,-4.04,1,1,248,11,0,0,4.84,78.8,1,0
17.182,34,1,0.37,0.02,0.08,0,0,220,2,1,0,5.67,86.1,1,1
17.864,27,1,0.16,0.01,-8.24,0,1,282,8,0,1,5.38,77.8,1,0
19.934,29,1,0.05,0.02,-4.96,0,1,258,6,3,0,5.67,NA,1,0
17.776,27,1,0.16,0.01,-8.24,0,1,329,8,0,1,4.92,65.6,1,0
17.386,32,0,0.16,0.01,-9.16,3,0,296,9,1,1,5.42,NA,1,0
17.71,26,1,0.16,0.01,-7,0,1,202.5,8,0,1,5.22,NA,1,0
23.96,32,1,0.38,0.04,-1.4,1,0,451.5,0,1,0,5.86,76.9,1,0
17.452,27,1,0.16,0.01,-7.96,0,1,286,8,0,1,5.2,NA,1,0
15.816,33,0,0.37,0.02,4,4,1,626,6,1,0,5.94,NA,1,1
19.928,28,1,0.37,0.02,-6.28,0,1,400.5,4,0,0,6.05,46.8,1,1
18.802,28,0,0.93,0.04,-1.44,3,1,264.5,9,2,1,6.08,83,1,1
19.048,30,1,0.21,0,-5.6,4,1,368.5,7,1,0,6.2,74.2,1,1
19.39,36,0,0.16,0.01,-10.72,4,0,312.5,0,0,1,5.27,NA,1,0
19.41,41,0,0.3,0.01,-2.84,1,0,313,4,3,0,6.31,NA,0,1
18.01,28,0,0.17,0.01,-0.92,2,0,273.5,5,3,0,6.02,NA,1,0
17.16,29,1,0.37,0.02,4.12,1,0,305.5,0,3,0,6.55,87.8,1,1
17.92,24,1,0.16,0.01,-5.44,0,1,378.5,8,0,1,5.62,NA,1,0
17.882,34,1,0.37,0.02,2.36,2,0,352.5,9,2,1,5.64,NA,1,0
19.662,30,1,0.29,0.01,-0.68,3,1,773,9,0,0,5.9,NA,1,1
17.468,26,1,0.16,0.01,-7.64,0,1,330,8,0,1,5.43,NA,1,0
16.87,29,0,0.3,0.01,-2.16,0,0,157,3,2,0,5.69,NA,2,1
18.814,32,0,0.16,0.01,-13.48,1,0,337,1,1,1,4.84,NA,1,0
18.798,36,1,0.19,0.02,14.24,0,0,643,5,2,0,6.92,NA,1,0
15.886,27,0,0.39,0.01,-2.6,2,0,411.5,3,1,0,5.54,NA,1,0
20.318,37,0,0.21,0,-3.6,0,1,419,10,1,0,5.73,78.1,1,0
16.91,27,1,0.39,0.01,-2.84,1,1,513.5,7,0,0,5.55,93.7,0,1
17.738,23,1,0.16,0.01,-7.44,0,1,259,8,0,1,5.42,NA,1,0
18.636,26,1,0.21,0,-2.72,3,1,271.5,3,2,0,6.18,NA,1,1
16.834,31,0,0.3,0.01,-0.56,4,0,216,6,0,0,5.73,NA,1,0
18.134,23,2,0.37,0.02,-4.92,3,0,165.5,0,0,0,5.59,59.9,1,1
17.924,29,1,0.37,0.02,10.76,2,1,130,3,3,0,5.8,72.9,1,0
18.132,27,1,0.14,0,-3.2,0,0,303.5,0,0,0,5.78,NA,0,0
19.132,31,0,0.62,0.05,0.48,3,1,192,0,1,0,6.01,NA,1,0
17.73,26,0,0.22,0,2.36,3,1,530,9,3,0,5.94,80.8,1,1
17.866,32,0,0.16,0.01,-8.64,3,1,492.5,8,1,1,5.66,NA,0,1
18.094,23,1,0.16,0.01,-7.96,0,1,343.5,8,0,1,5.51,NA,1,0
17.066,27,1,0.27,0.01,6.92,2,0,668,11,1,0,6.56,NA,1,1
16.806,33,0,0.22,0,-2.68,3,1,432,7,3,1,5.82,NA,1,0
17.82,21,1,0.16,0.01,-7.32,0,1,311,8,0,1,5.33,NA,1,0
18.08,25,1,0.16,0.01,-7.8,0,1,292.5,8,0,1,5.52,NA,1,0
17.986,33,0,0.62,0.05,-2.2,3,1,409,9,3,0,6.21,NA,1,0
17.694,29,1,0.19,0.02,8.52,1,1,360,3,3,0,5.97,NA,1,0
17.298,33,0,0.62,0.05,0.32,2,0,240.5,6,3,0,5.36,NA,2,0
17.124,26,0,0.29,0.01,-1.56,3,0,249,4,0,0,6.49,NA,1,1
20.616,32,0,0.16,0.01,-11.28,3,1,449.5,3,3,1,5.22,NA,1,0
18.756,33,1,0.39,0.01,-2.32,4,1,622,10,2,0,5.93,61.3,1,0
16.536,32,0,0.05,0.02,-1.12,2,1,628.5,8,0,0,6.23,NA,1,1
17.798,30,1,0.11,0,-0.12,1,1,185.5,9,3,0,5.63,43.6,1,1
17.876,30,0,0.3,0.01,-4.92,1,0,451,0,1,0,5.44,93.8,0,0
16.758,28,1,0.62,0.05,13.84,2,1,608,1,2,0,6.27,NA,1,1
19.458,26,1,0.19,0.02,-6.44,2,0,183.5,0,3,1,5.58,NA,0,0
17.314,32,0,0.05,0,-2.32,0,1,504,3,0,0,6.22,84.8,1,0
15.926,32,0,0.1,0.01,1.6,1,0,205,0,0,0,6.27,NA,1,1
17.79,27,1,0.16,0.01,-8.52,0,1,264.5,8,0,1,5.42,83,1,0
16.638,37,1,0.39,0.01,6.44,2,0,481.5,0,0,0,5.97,NA,1,0
17.99,39,0,0.3,0.01,-5.84,0,0,556.5,8,3,0,5.94,NA,0,0
17.29,35,0,0.62,0.05,-1.8,4,1,452,10,3,0,5.45,NA,1,0
22.788,30,2,0.38,0.04,37,3,0,573,5,2,0,7.17,NA,1,1
17.7,28,1,0.38,0.04,-5.68,0,1,515.5,2,3,0,5.71,NA,1,0
18.558,27,1,0.16,0.01,-10.44,0,0,129.5,8,0,1,4.97,64.1,1,1
17.864,39,0,0.03,0,1,2,1,213.5,0,1,0,6.04,86.4,0,0
16.558,30,1,0.62,0.05,11.12,0,0,402.5,0,0,0,6.31,NA,0,0
17.144,27,1,0.62,0.05,-3.76,0,1,321.5,11,3,0,5.57,80.8,1,1
20.174,39,0,0.06,0,0.72,1,0,501,2,3,0,5.68,NA,1,0
17.582,29,0,0.39,0.01,-1.56,3,1,490.5,11,3,0,5.4,76.2,1,0
16.516,31,0,0.37,0.02,-1.52,3,0,299.5,9,3,0,5.97,66.6,1,1
20.132,32,1,0.22,0,-4.88,1,1,281,1,1,0,6.05,79.8,1,1
19.704,30,1,0.16,0.01,-12.44,4,0,405.5,8,3,1,5.74,NA,1,1
19.884,34,1,0.38,0.04,-1.16,3,0,146,8,1,0,6.3,NA,0,1
20.962,33,1,0.19,0.02,-5.4,0,1,206.5,1,0,1,5.76,NA,1,0
19.706,30,0,0.16,0.01,-13.24,4,1,473.5,7,1,1,5.46,73.6,1,0
17.608,37,0,0.39,0.01,0,2,1,611,1,0,0,5.8,NA,1,0
17.762,26,1,0.16,0.01,-7.92,0,1,290,8,0,1,4.93,67.4,1,0
16.69,29,1,0.37,0.02,-0.84,3,0,342.5,8,0,0,5.9,NA,1,0
15.568,37,0,0.37,0.02,-0.08,3,0,345.5,3,2,0,6.1,NA,1,0
18.116,33,0,0.37,0.02,-1.76,0,1,511.5,0,1,0,5.75,72.9,1,0
20.14,35,0,0.29,0.01,-3.48,0,1,399,8,0,0,6.09,64.9,1,0
17.178,34,0,0.62,0.05,-1.44,4,0,408.5,4,3,0,5.98,NA,1,0
17.714,22,1,0.16,0.01,-7.4,0,1,222,8,0,1,5.11,59.2,1,0
17.348,31,0,0.13,0.01,-4.56,2,1,426.5,4,2,0,5.6,NA,1,0
17.644,29,1,0.16,0.01,-7.36,0,1,172.5,8,0,1,5.57,88.1,1,0
18.036,34,1,0.16,0.01,-11.44,2,1,86.5,0,1,1,5.12,NA,1,0
18.522,36,1,0.93,0.04,-0.68,1,0,294,4,3,0,5.99,45.1,1,1
17.584,25,1,0.16,0.01,-8.84,0,1,407.5,8,0,1,5.65,64.9,1,0
19.844,36,0,0.16,0.01,-11.32,1,0,643.5,5,2,1,5.18,NA,1,0
20.514,33,1,0.37,0.02,-2.8,1,0,276,9,3,1,5.88,66.7,0,0
17.756,23,1,0.21,0,-6.04,0,1,428.5,5,2,0,5.93,NA,1,1
